dest;orig;hombres;mujeres;año
   La Palma;Resto del mundo;5;14;1996
   El Hierro;Resto del mundo;0;0;1996
Canarias;España;10754;10799;1995
   Lanzarote;España;720;702;1995
   Fuerteventura;España;193;187;1995
   Gran Canaria;España;4784;4700;1995
   Tenerife;España;4640;4786;1995
   La Gomera;España;28;31;1995
   La Palma;España;373;368;1995
   El Hierro;España;16;25;1995
Canarias;Resto de UE-28;194;217;1995
   Lanzarote;Resto de UE-28;22;34;1995
   Fuerteventura;Resto de UE-28;2;4;1995
   Gran Canaria;Resto de UE-28;39;47;1995
   Tenerife;Resto de UE-28;114;120;1995
   La Gomera;Resto de UE-28;0;0;1995
   La Palma;Resto de UE-28;17;12;1995
   El Hierro;Resto de UE-28;0;0;1995
Canarias;Resto del mundo;158;196;1995
   Lanzarote;Resto del mundo;15;25;1995
   Fuerteventura;Resto del mundo;8;4;1995
   Gran Canaria;Resto del mundo;61;64;1995
   Tenerife;Resto del mundo;66;89;1995
   La Gomera;Resto del mundo;0;1;1995
   La Palma;Resto del mundo;8;13;1995
   El Hierro;Resto del mundo;0;0;1995
Canarias;España;9706;9659;1994
   Lanzarote;España;568;518;1994
   Fuerteventura;España;186;173;1994
   Gran Canaria;España;4423;4359;1994
   Tenerife;España;4158;4238;1994
   La Gomera;España;34;36;1994
   La Palma;España;317;314;1994
   El Hierro;España;20;21;1994
Canarias;Resto de UE-28;183;179;1994
   Lanzarote;Resto de UE-28;7;16;1994
   Fuerteventura;Resto de UE-28;7;1;1994
   Gran Canaria;Resto de UE-28;47;46;1994
   Tenerife;Resto de UE-28;102;95;1994
   La Gomera;Resto de UE-28;1;2;1994
   La Palma;Resto de UE-28;18;15;1994
   El Hierro;Resto de UE-28;1;4;1994
Canarias;Resto del mundo;216;185;1994
   Lanzarote;Resto del mundo;13;19;1994
   Fuerteventura;Resto del mundo;14;2;1994
   Gran Canaria;Resto del mundo;82;71;1994
   Tenerife;Resto del mundo;98;86;1994
   La Gomera;Resto del mundo;0;0;1994
   La Palma;Resto del mundo;9;7;1994
   El Hierro;Resto del mundo;0;0;1994
Canarias;España;9263;8760;1993
   Lanzarote;España;608;593;1993
   Fuerteventura;España;144;149;1993
   Gran Canaria;España;4033;3807;1993
   Tenerife;España;4136;3888;1993
   La Gomera;España;24;27;1993
   La Palma;España;308;288;1993
   El Hierro;España;10;8;1993
Canarias;Resto de UE-28;143;169;1993
   Lanzarote;Resto de UE-28;11;16;1993
   Fuerteventura;Resto de UE-28;3;1;1993
   Gran Canaria;Resto de UE-28;40;53;1993
